,Sample,Cluster
575,TCGA-C8-A1HJ-01,8
576,TCGA-C8-A1HK-01,1
577,TCGA-C8-A1HL-01,8
578,TCGA-C8-A1HM-01,8
579,TCGA-C8-A1HN-01,1
580,TCGA-C8-A1HO-01,1
581,TCGA-C8-A26V-01,8
582,TCGA-C8-A26W-01,8
583,TCGA-C8-A26X-01,8
584,TCGA-C8-A26Y-01,8
585,TCGA-C8-A26Z-01,1
586,TCGA-C8-A273-01,8
587,TCGA-C8-A274-01,1
588,TCGA-C8-A275-01,8
589,TCGA-C8-A278-01,8
590,TCGA-C8-A27A-01,2
591,TCGA-C8-A27B-01,8
592,TCGA-C8-A3M7-01,8
593,TCGA-C8-A3M8-01,8
594,TCGA-D8-A13Y-01,2
595,TCGA-D8-A13Z-01,8
596,TCGA-D8-A140-01,8
597,TCGA-D8-A141-01,8
598,TCGA-D8-A142-01,8
599,TCGA-D8-A143-01,8
600,TCGA-D8-A145-01,8
601,TCGA-D8-A146-01,8
602,TCGA-D8-A147-01,8
603,TCGA-D8-A1J8-01,8
604,TCGA-D8-A1J9-01,8
605,TCGA-D8-A1JA-01,8
606,TCGA-D8-A1JB-01,8
607,TCGA-D8-A1JC-01,8
608,TCGA-D8-A1JD-01,1
609,TCGA-D8-A1JE-01,8
610,TCGA-D8-A1JF-01,8
611,TCGA-D8-A1JG-01,8
612,TCGA-D8-A1JH-01,8
613,TCGA-D8-A1JI-01,1
614,TCGA-D8-A1JJ-01,8
615,TCGA-D8-A1JK-01,8
616,TCGA-D8-A1JL-01,8
617,TCGA-D8-A1JM-01,8
618,TCGA-D8-A1JN-01,1
619,TCGA-D8-A1JP-01,8
620,TCGA-D8-A1JS-01,1
621,TCGA-D8-A1JT-01,1
622,TCGA-D8-A1JU-01,8
623,TCGA-D8-A1X5-01,1
624,TCGA-D8-A1X6-01,1
625,TCGA-D8-A1X7-01,8
626,TCGA-D8-A1X8-01,8
627,TCGA-D8-A1X9-01,8
628,TCGA-D8-A1XA-01,1
629,TCGA-D8-A1XB-01,8
630,TCGA-D8-A1XC-01,1
631,TCGA-D8-A1XF-01,1
632,TCGA-D8-A1XG-01,2
633,TCGA-D8-A1XJ-01,8
634,TCGA-D8-A1XK-01,8
635,TCGA-D8-A1XL-01,1
636,TCGA-D8-A1XM-01,8
637,TCGA-D8-A1XO-01,8
638,TCGA-D8-A1XQ-01,8
639,TCGA-D8-A1XR-01,8
640,TCGA-D8-A1XS-01,8
641,TCGA-D8-A1XT-01,8
642,TCGA-D8-A1XU-01,8
643,TCGA-D8-A1XV-01,2
644,TCGA-D8-A1XW-01,8
645,TCGA-D8-A1XY-01,1
646,TCGA-D8-A1XZ-01,8
647,TCGA-D8-A1Y0-01,8
648,TCGA-D8-A1Y1-01,1
649,TCGA-D8-A1Y2-01,8
650,TCGA-D8-A1Y3-01,1
651,TCGA-D8-A27E-01,2
652,TCGA-D8-A27F-01,8
653,TCGA-D8-A27G-01,1
654,TCGA-D8-A27I-01,8
655,TCGA-D8-A27K-01,8
656,TCGA-D8-A27L-01,8
657,TCGA-D8-A27M-01,8
658,TCGA-D8-A27N-01,8
659,TCGA-D8-A27P-01,8
660,TCGA-D8-A27R-01,8
661,TCGA-D8-A27T-01,8
662,TCGA-D8-A27V-01,8
663,TCGA-D8-A27W-01,8
664,TCGA-D8-A3Z6-01,1
665,TCGA-D8-A4Z1-01,8
666,TCGA-E2-A10A-01,8
667,TCGA-E2-A10C-01,1
668,TCGA-E2-A14N-01,8
669,TCGA-E2-A14O-01,1
670,TCGA-E2-A14P-01,8
671,TCGA-E2-A14Q-01,8
672,TCGA-E2-A14R-01,8
673,TCGA-E2-A14T-01,2
674,TCGA-E2-A14V-01,1
675,TCGA-E2-A14W-01,1
676,TCGA-E2-A14X-01,8
677,TCGA-E2-A14Y-01,8
678,TCGA-E2-A14Z-01,8
679,TCGA-E2-A150-01,8
680,TCGA-E2-A152-01,8
681,TCGA-E2-A153-01,8
682,TCGA-E2-A154-01,1
683,TCGA-E2-A155-01,1
684,TCGA-E2-A156-01,1
685,TCGA-E2-A158-01,8
686,TCGA-E2-A159-01,8
687,TCGA-E2-A15A-01,1
688,TCGA-E2-A15C-01,1
689,TCGA-E2-A15D-01,8
690,TCGA-E2-A15E-01,8
691,TCGA-E2-A15G-01,1
692,TCGA-E2-A15H-01,1
693,TCGA-E2-A15I-01,8
694,TCGA-E2-A15J-01,8
695,TCGA-E2-A15K-01,1
696,TCGA-E2-A15L-01,1
697,TCGA-E2-A15M-01,8
698,TCGA-E2-A15O-01,1
699,TCGA-E2-A15P-01,8
700,TCGA-E2-A15R-01,1
701,TCGA-E2-A15S-01,1
702,TCGA-E2-A15T-01,1
703,TCGA-E2-A1AZ-01,8
704,TCGA-E2-A1B0-01,8
705,TCGA-E2-A1B1-01,8
706,TCGA-E2-A1B4-01,1
707,TCGA-E2-A1B5-01,8
708,TCGA-E2-A1B6-01,8
709,TCGA-E2-A1BC-01,1
710,TCGA-E2-A1BD-01,1
711,TCGA-E2-A1IE-01,1
712,TCGA-E2-A1IF-01,8
713,TCGA-E2-A1IG-01,8
714,TCGA-E2-A1IH-01,8
715,TCGA-E2-A1II-01,8
716,TCGA-E2-A1IJ-01,8
717,TCGA-E2-A1IK-01,8
718,TCGA-E2-A1IL-01,8
719,TCGA-E2-A1IN-01,8
720,TCGA-E2-A1IO-01,8
721,TCGA-E2-A1IU-01,1
722,TCGA-E2-A1L6-01,8
723,TCGA-E2-A1L7-01,2
724,TCGA-E2-A1L8-01,8
725,TCGA-E2-A1L9-01,8
726,TCGA-E2-A1LA-01,8
727,TCGA-E2-A1LB-01,1
728,TCGA-E2-A1LG-01,8
729,TCGA-E2-A1LH-01,8
730,TCGA-E2-A1LI-01,8
731,TCGA-E2-A1LK-01,8
732,TCGA-E2-A1LL-01,7
733,TCGA-E2-A1LS-01,8
734,TCGA-E2-A2P6-01,1
735,TCGA-E2-A56Z-01,1
736,TCGA-E2-A570-01,1
737,TCGA-E2-A573-01,8
738,TCGA-E2-A574-01,8
739,TCGA-E9-A1N3-01,2
740,TCGA-E9-A1N4-01,8
741,TCGA-E9-A1N5-01,1
742,TCGA-E9-A1N8-01,8
743,TCGA-E9-A1N9-01,8
