ClustMethod,Drug,Group_Pair,padj_1,diff,lwr,upr,padj_2
1,dacomitinib_2.5_BRD-K57169635-001-04-5,G_3-2,6.12860449240582e-05,0.876846960695429,0.333486075458073,1.42020784593279,0.0280370828215838
1,hesperadin_2.5_BRD-K58122457-001-02-2,G_4-2,7.99745563672127e-05,-1.15694879446053,-1.88286186949406,-0.431035719426998,0.0334729251709205
1,NMS-E973_2.5_BRD-K58770988-001-01-8,G_6-2,5.30203923176931e-06,-1.50939543296695,-2.35188085848036,-0.666910007453536,0.0041062832658139
1,AM-24_2.5_BRD-K59013864-001-01-1,G_5-0,2.09521476346453e-05,1.51717166924999,0.621283028168908,2.41306031033107,0.0125659227868807
1,AM-24_2.5_BRD-K59013864-001-01-1,G_5-1,9.8457330843793e-08,1.60848808907142,0.826492372499007,2.39048380564384,0.000172929752627389
1,AM-24_2.5_BRD-K59013864-001-01-1,G_5-2,2.49063233148661e-07,1.48597355827586,0.741978537334921,2.22996857921679,0.000362890540528489
1,AM-24_2.5_BRD-K59013864-001-01-1,G_5-3,2.5088510091642e-07,1.49672251624999,0.747168302031519,2.24627673046847,0.000362890540528489
1,AM-24_2.5_BRD-K59013864-001-01-1,G_5-4,6.77855256370208e-07,1.44785497767499,0.698300763456519,2.19740919189347,0.000793720086976916
1,AM-24_2.5_BRD-K59013864-001-01-1,G_6-5,2.26020381632885e-07,-1.49582040354166,-2.24239427110923,-0.749246535974092,0.000347358010885114
1,thiomersal_2.5_BRD-K61443650-236-13-1,G_3-2,7.11314749759495e-05,-1.13862044615517,-1.84917635663281,-0.428064535677529,0.0310948871808197
1,idasanutlin_2.5_BRD-K62627508-001-01-5,G_4-3,0.000102694669413372,1.3792540899,0.503136591136883,2.25537158866311,0.0412279277312671
1,idasanutlin_2.5_BRD-K62627508-001-01-5,G_6-3,3.12930673169731e-05,1.39581642865833,0.556997785762845,2.23463507155382,0.0171817993675671
1,gefitinib_2.5_BRD-K64052750-001-17-5,G_3-2,2.91581961819887e-06,0.796608179044049,0.362092985992556,1.23112337209554,0.00253800164607792
1,Ro-4987655_2.5_BRD-K64538373-001-01-4,G_3-1,1.33660525469814e-06,-2.094928971805,-3.20526120794007,-0.98459673566993,0.00141361096388817
1,GDC-0879_2.5_BRD-K67578145-001-12-1,G_3-2,1.8267076707934e-06,-0.790639565976096,-1.21438083798009,-0.366898293972102,0.00180560775868908
1,GDC-0879_2.5_BRD-K67578145-001-12-1,G_4-3,6.42002104811468e-08,0.957869023055001,0.498494056855687,1.41724398925431,0.000123815770637346
1,GDC-0879_2.5_BRD-K67578145-001-12-1,G_6-3,2.85601325555884e-06,0.807177633839584,0.367359588575709,1.24699567910346,0.00250814064098443
1,avasimibe_2.5_BRD-K67901620-001-02-0,G_3-1,5.95317810809792e-05,0.506136017678571,0.192922296332422,0.819349739024721,0.0274902672467744
1,eprosartan_2.5_BRD-K67977190-066-02-3,G_4-2,7.80560128320618e-05,-0.644148135877274,-1.04772718482784,-0.240569086926711,0.0330923849574825
1,MK-2206_2.5_BRD-K68065987-300-09-1,G_3-2,3.27347308403114e-05,0.656304715383685,0.261146097654837,1.05146333311253,0.0175941128742697
1,tyrphostin-AG-1478_2.5_BRD-K68336408-001-10-9,G_3-2,4.9812465752197e-07,0.770208102077071,0.375756425100416,1.16465977905373,0.000620184114741088
1,EVP4593_2.5_BRD-K68395654-001-03-1,G_2-1,4.20718635285589e-06,1.10080026484286,0.491858223563989,1.70974230612173,0.00341992095284463
1,EVP4593_2.5_BRD-K68395654-001-03-1,G_3-1,7.61131301054707e-05,1.01430957386036,0.379284912543885,1.64933423517683,0.03267231464553
1,EVP4593_2.5_BRD-K68395654-001-03-1,G_6-1,1.17919988484871e-06,1.17686714609078,0.55571365084432,1.79802064133723,0.00127454661839505
1,ibrutinib_2.5_BRD-K70301465-001-02-6,G_3-2,1.1089981644119e-07,0.860794808295175,0.440830298395938,1.28075931819441,0.00019136638851794
1,ibrutinib_2.5_BRD-K70301465-001-02-6,G_4-2,0.00011661478122349,0.657064940695176,0.237100430795938,1.07702945059441,0.0458799866063201
1,ibrutinib_2.5_BRD-K70301465-001-02-6,G_6-3,2.54710710301254e-08,-0.933791252766667,-1.36968924530949,-0.497893260223843,5.96496096281208e-05
1,ibrutinib_2.5_BRD-K70301465-001-02-6,G_6-4,2.70875735247644e-05,-0.730061385166667,-1.16595937770949,-0.294163392623843,0.0151379520269817
1,erlotinib_2.5_BRD-K70401845-003-09-6,G_6-4,7.6400825235079e-05,-0.770825840770833,-1.25350066071099,-0.28815102083068,0.03267231464553
1,BIBX-1382_2.5_BRD-K70914287-300-02-8,G_6-3,2.17495267349488e-05,-0.613802539781666,-0.976836828604218,-0.250768250959114,0.0129650906096733
1,BIBX-1382_2.5_BRD-K70914287-300-02-8,G_6-4,0.000123186834225075,-0.566398580959167,-0.929432869781719,-0.203364292136614,0.0480809946059918
1,VU0364439_2.5_BRD-K72687424-001-02-6,G_5-2,6.675426948477e-05,-1.05929290615517,-1.71835807845828,-0.400227733852056,0.0293116805267099
1,VU0364439_2.5_BRD-K72687424-001-02-6,G_5-3,9.88827682869564e-05,-1.047243660825,-1.71123342344418,-0.383253898205816,0.040024326432792
1,benzethonium_2.5_BRD-K72723676-003-17-8,G_3-2,1.34686486705782e-05,-1.30742108103879,-2.06495982332374,-0.54988233875385,0.00905659622936447
